country_code,country_name,region,topic_group,avg_interest,n_queries
US,United States,Nebraska,domestic_discipline,NA,1
US,United States,Nevada,bdsm_general,89,1
US,United States,Nevada,otk,76,1
US,United States,Nevada,spanking,67,3
US,United States,Nevada,impact_play,49,1
US,United States,Nevada,adult_corporal_punishment,NA,1
US,United States,Nevada,domestic_discipline,NA,1
US,United States,New Hampshire,bdsm_general,85,1
US,United States,New Hampshire,spanking,81,3
US,United States,New Hampshire,otk,66,1
US,United States,New Hampshire,domestic_discipline,38,1
US,United States,New Hampshire,impact_play,28,1
US,United States,New Hampshire,adult_corporal_punishment,NA,1
US,United States,New Jersey,otk,76,1
US,United States,New Jersey,bdsm_general,68,1
US,United States,New Jersey,spanking,55.5,3
US,United States,New Jersey,impact_play,37,1
US,United States,New Jersey,domestic_discipline,14,1
US,United States,New Jersey,adult_corporal_punishment,NA,1
US,United States,New Mexico,bdsm_general,68,1
US,United States,New Mexico,spanking,62,3
US,United States,New Mexico,otk,59,1
US,United States,New Mexico,impact_play,49,1
US,United States,New Mexico,domestic_discipline,38,1
US,United States,New Mexico,adult_corporal_punishment,NA,1
US,United States,New York,adult_corporal_punishment,100,1
US,United States,New York,bdsm_general,84,1
US,United States,New York,otk,71,1
US,United States,New York,impact_play,50,1
US,United States,New York,spanking,38.5,3
US,United States,New York,domestic_discipline,14,1
US,United States,North Carolina,bdsm_general,77,1
US,United States,North Carolina,spanking,62,3
US,United States,North Carolina,otk,61,1
US,United States,North Carolina,impact_play,45,1
US,United States,North Carolina,domestic_discipline,14,1
US,United States,North Carolina,adult_corporal_punishment,NA,1
US,United States,North Dakota,bdsm_general,81,1
US,United States,North Dakota,spanking,61,3
US,United States,North Dakota,otk,50,1
US,United States,North Dakota,impact_play,30,1
US,United States,North Dakota,adult_corporal_punishment,NA,1
US,United States,North Dakota,domestic_discipline,NA,1
US,United States,Ohio,bdsm_general,92,1
US,United States,Ohio,otk,71,1
US,United States,Ohio,spanking,70.5,3
US,United States,Ohio,impact_play,34,1
US,United States,Ohio,domestic_discipline,19,1
US,United States,Ohio,adult_corporal_punishment,NA,1
US,United States,Oklahoma,bdsm_general,90,1
US,United States,Oklahoma,spanking,82,3
US,United States,Oklahoma,impact_play,59,1
US,United States,Oklahoma,otk,59,1
US,United States,Oklahoma,domestic_discipline,28,1
US,United States,Oklahoma,adult_corporal_punishment,NA,1
US,United States,Oregon,bdsm_general,100,1
US,United States,Oregon,otk,76,1
US,United States,Oregon,spanking,70,3
US,United States,Oregon,impact_play,39,1
US,United States,Oregon,domestic_discipline,19,1
US,United States,Oregon,adult_corporal_punishment,NA,1
US,United States,Pennsylvania,bdsm_general,81,1
US,United States,Pennsylvania,otk,76,1
US,United States,Pennsylvania,spanking,48.5,3
US,United States,Pennsylvania,impact_play,46,1
US,United States,Pennsylvania,domestic_discipline,19,1
US,United States,Pennsylvania,adult_corporal_punishment,NA,1
US,United States,Rhode Island,otk,100,1
US,United States,Rhode Island,spanking,93,3
US,United States,Rhode Island,bdsm_general,82,1
US,United States,Rhode Island,impact_play,40,1
US,United States,Rhode Island,adult_corporal_punishment,NA,1
US,United States,Rhode Island,domestic_discipline,NA,1
US,United States,South Carolina,bdsm_general,70,1
US,United States,South Carolina,spanking,64,3
US,United States,South Carolina,otk,57,1
US,United States,South Carolina,impact_play,47,1
US,United States,South Carolina,domestic_discipline,14,1
US,United States,South Carolina,adult_corporal_punishment,NA,1
US,United States,South Dakota,bdsm_general,65,1
US,United States,South Dakota,spanking,56,3
US,United States,South Dakota,otk,35,1
US,United States,South Dakota,impact_play,32,1
US,United States,South Dakota,adult_corporal_punishment,NA,1
US,United States,South Dakota,domestic_discipline,NA,1
US,United States,Tennessee,bdsm_general,83,1
US,United States,Tennessee,spanking,71,3
US,United States,Tennessee,otk,59,1
US,United States,Tennessee,impact_play,47,1
US,United States,Tennessee,domestic_discipline,14,1
US,United States,Tennessee,adult_corporal_punishment,NA,1
US,United States,Texas,bdsm_general,67,1
US,United States,Texas,otk,59,1
US,United States,Texas,spanking,53,3
US,United States,Texas,impact_play,52,1
US,United States,Texas,domestic_discipline,14,1
US,United States,Texas,adult_corporal_punishment,NA,1
US,United States,Utah,bdsm_general,76,1
US,United States,Utah,otk,66,1
US,United States,Utah,spanking,55,3
US,United States,Utah,impact_play,48,1
US,United States,Utah,domestic_discipline,9,1
US,United States,Utah,adult_corporal_punishment,NA,1
US,United States,Vermont,bdsm_general,98,1
US,United States,Vermont,spanking,79,3
US,United States,Vermont,otk,64,1
US,United States,Vermont,impact_play,38,1
US,United States,Vermont,adult_corporal_punishment,NA,1
US,United States,Vermont,domestic_discipline,NA,1
US,United States,Virginia,bdsm_general,83,1
US,United States,Virginia,otk,69,1
US,United States,Virginia,spanking,66,3
US,United States,Virginia,impact_play,45,1
US,United States,Virginia,domestic_discipline,14,1
US,United States,Virginia,adult_corporal_punishment,NA,1
US,United States,Washington,bdsm_general,95,1
US,United States,Washington,otk,80,1
