scrape_date,source,country_code,country_name,region,query_term,timeframe,interest_score,interest_score_raw,hits,keyword,geo,gprop
2026-04-11,google_trends_region,US,United States,Illinois,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,New York,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,California,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,Pennsylvania,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,Alaska,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Wyoming,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,District of Columbia,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Delaware,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Florida,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Georgia,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Hawaii,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Iowa,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Idaho,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Colorado,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Indiana,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Kansas,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Kentucky,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Louisiana,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Arizona,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Maryland,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Maine,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Michigan,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Minnesota,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Missouri,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Mississippi,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Montana,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,North Carolina,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,North Dakota,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Nebraska,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,New Hampshire,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,New Jersey,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,New Mexico,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Nevada,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Arkansas,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Ohio,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Oklahoma,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Oregon,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Alabama,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Rhode Island,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,South Carolina,spanko,today 12-m,NA,NA,NA,spanko,US,web
